Province,2000,2010,2015
Abra,209491,234733,241160
Agusan Del Norte,552849,642196,691566
Agusan Del Sur,559294,656418,700653
Aklan,451314,535725,574823
Albay,1090907,1233432,1314826
Antique,472822,546031,582012
Apayao,97129,112636,119184
Aurora,173797,201233,214336
Basilan,332828,391179,459367
Bataan,557659,687482,760650
Batanes,16467,16604,17246
Batangas,1905348,2377395,2694335
Benguet,582515,722620,791590
Biliran,140274,161760,171612
Bohol,1139130,1255128,1313560
Bukidnon,1060415,1299192,1415226
Bulacan,2234088,2924433,3292071
Cagayan,993580,1124773,1199320
Camarines Norte,470654,542915,583313
Camarines Sur,1551549,1822371,1952544
Camiguin,74232,83807,88478
Capiz,654156,719685,761384
Catanduanes,215356,246300,260964
Cavite,2063161,3090691,3678301
Cebu,3356137,4167320,4632359
Cotabato,958643,1226508,1379747
Davao De Oro,580244,687195,736107
Davao Del Norte,743811,945764,1016332
Davao Del Sur,1651405,2024206,2265579
Davao Occidental,254512,293780,316342
Davao Oriental,446191,517618,558958
Dinagat Islands,106951,126803,127152
Eastern Samar,375822,428877,467160
Guimaras,141450,162943,174613
Ifugao,161623,191078,202802
Ilocos Norte,514241,568017,593081
Ilocos Sur,594206,658587,689668
Iloilo,1925573,2230195,2384415
Isabela,1287575,1489645,1593566
Kalinga,174023,201613,212680
La Union,657945,741906,786653
Laguna,1965872,2669847,3035081
Lanao Del Norte,758123,930738,1019013
Lanao Del Sur,800162,933260,1045429
Leyte,1592336,1789158,1966768
Maguindanao,964951,1216504,1473371
Marinduque,217392,227828,234521
Masbate,707668,834650,892393
Misamis Occidental,486723,567642,602126
Misamis Oriental,1126215,1415944,1564459
Mountain Province,140631,154187,154590
NCR,9932560,11855975,12877253
Negros Occidental,2565723,2907859,3059136
Negros Oriental,1130088,1286666,1354995
Northern Samar,500639,589013,632379
Nueva Ecija,1659883,1955373,2151461
Nueva Vizcaya,366962,421355,452287
Occidental Mindoro,380250,452971,487414
Oriental Mindoro,681818,785602,844059
Palawan,755412,994340,1104585
Pampanga,1882730,2340355,2609744
Pangasinan,2434086,2779862,2956726
Quezon,1679030,1987030,2122830
Quirino,148575,176786,188991
Rizal,1707218,2484840,2884227
Romblon,264357,283930,292781
Samar,641124,733377,780481
Sarangani,410622,498904,544261
Siquijor,81598,91066,95984
Sorsogon,650535,740743,792949
South Cotabato,1102550,1365286,1509735
Southern Leyte,360160,399137,421750
Sultan Kudarat,586505,747087,812095
Sulu,619668,718290,824731
Surigao Del Norte,374465,442588,485088
Surigao Del Sur,501808,561219,592250
Tarlac,1068783,1273240,1366027
Tawi-Tawi,322317,366550,390715
Zambales,627802,755621,823888
Zamboanga Del Norte,823130,957997,1011393
Zamboanga Del Sur,1438011,1766814,1872473
Zamboanga Sibugay,497239,584685,633129
