Province,Total Population
Abra,250985
Agusan Del Norte,760413
Agusan Del Sur,739367
Aklan,615475
Albay,1374768
Antique,612974
Apayao,124366
Aurora,235750
Basilan,556586
Bataan,853373
Batanes,18831
Batangas,2908494
Benguet,827041
Biliran,179312
Bohol,1394329
Bukidnon,1541308
Bulacan,3708890
Cagayan,1268603
Camarines Norte,629699
Camarines Sur,2068244
Camiguin,92808
Capiz,804952
Catanduanes,271879
Cavite,4344829
Cebu,5151274
Cotabato,1275185
Davao De Oro,767547
Davao Del Norte,1125057
Davao Del Sur,2457430
Davao Occidental,317159
Davao Oriental,576343
Dinagat Islands,128117
Eastern Samar,477168
Guimaras,187842
Ifugao,207498
Ilocos Norte,609588
Ilocos Sur,706009
Iloilo,2509525
Isabela,1697050
Kalinga,229570
La Union,822352
Laguna,3382193
Lanao Del Norte,1086017
Lanao Del Sur,1195518
Leyte,2028728
Maguindanao,1667258
Marinduque,239207
Masbate,908920
Misamis Occidental,617333
Misamis Oriental,1685302
Mountain Province,158200
NCR,13484462
Negros Occidental,3223955
Negros Oriental,1432990
Northern Samar,639186
Nueva Ecija,2310134
Nueva Vizcaya,497432
Occidental Mindoro,525354
Oriental Mindoro,908339
Palawan,1246673
Pampanga,2900637
Pangasinan,3163190
Quezon,2229383
Quirino,203828
Rizal,3330143
Romblon,308985
Samar,793183
Sarangani,558946
Siquijor,103395
Sorsogon,828655
South Cotabato,1672791
Southern Leyte,429573
Sultan Kudarat,854052
Sulu,1000108
Surigao Del Norte,534636
Surigao Del Sur,642255
Tarlac,1503456
Tawi-Tawi,440276
Zambales,909932
Zamboanga Del Norte,1047455
Zamboanga Del Sur,2027902
Zamboanga Sibugay,669840
