Year,Month,Region,Province/HUC/ICC,Cases
2017,1,1,DAGUPAN CITY,22
2017,1,1,ILOCOS NORTE,16
2017,1,1,ILOCOS SUR,38
2017,1,1,LA UNION,71
2017,1,1,PANGASINAN,118
2017,1,2,CAGAYAN,133
2017,1,2,CITY OF SANTIAGO,8
2017,1,2,ISABELA,98
2017,1,2,NUEVA VIZCAYA,14
2017,1,2,QUIRINO,15
2017,1,3,ANGELES CITY,154
2017,1,3,AURORA,25
2017,1,3,BATAAN,218
2017,1,3,BULACAN,500
2017,1,3,NUEVA ECIJA,154
2017,1,3,OLONGAPO CITY,28
2017,1,3,PAMPANGA,682
2017,1,3,TARLAC,185
2017,1,3,ZAMBALES,38
2017,1,5,ALBAY,35
2017,1,5,CAMARINES NORTE,8
2017,1,5,CAMARINES SUR,65
2017,1,5,CATANDUANES,4
2017,1,5,MASBATE,27
2017,1,5,NAGA CITY,61
2017,1,5,SORSOGON,24
2017,1,6,AKLAN,83
2017,1,6,ANTIQUE,37
2017,1,6,BACOLOD CITY,115
2017,1,6,CAPIZ,41
2017,1,6,GUIMARAS,4
2017,1,6,ILOILO,72
2017,1,6,ILOILO CITY,39
2017,1,6,NEGROS OCCIDENTAL,303
2017,1,7,BOHOL,146
2017,1,7,CEBU,871
2017,1,7,CEBU CITY,568
2017,1,7,LAPU-LAPU CITY (OPON),171
2017,1,7,MANDAUE CITY,220
2017,1,7,NEGROS ORIENTAL,322
2017,1,7,SIQUIJOR,11
2017,1,8,BILIRAN,15
2017,1,8,EASTERN SAMAR,38
2017,1,8,LEYTE,251
2017,1,8,NORTHERN SAMAR,21
2017,1,8,ORMOC CITY,70
2017,1,8,SAMAR (WESTERN SAMAR),62
2017,1,8,SOUTHERN LEYTE,22
2017,1,8,TACLOBAN CITY,153
2017,1,9,CITY OF ISABELA,65
2017,1,9,ZAMBOANGA CITY,243
2017,1,9,ZAMBOANGA DEL NORTE,121
2017,1,9,ZAMBOANGA DEL SUR,41
2017,1,9,ZAMBOANGA SIBUGAY,47
2017,1,10,BUKIDNON,178
2017,1,10,CAGAYAN DE ORO CITY,196
2017,1,10,CAMIGUIN,36
2017,1,10,ILIGAN CITY,134
2017,1,10,LANAO DEL NORTE,84
2017,1,10,MISAMIS OCCIDENTAL,143
2017,1,10,MISAMIS ORIENTAL,194
2017,1,11,DAVAO CITY,253
2017,1,11,DAVAO DE ORO,91
2017,1,11,DAVAO DEL NORTE,186
2017,1,11,DAVAO DEL SUR,16
2017,1,11,DAVAO ORIENTAL,105
2017,1,12,COTABATO (NORTH COTABATO),243
2017,1,12,GENERAL SANTOS CITY (DADIANGAS),449
2017,1,12,SARANGANI,239
2017,1,12,SOUTH COTABATO,366
2017,1,12,SULTAN KUDARAT,70
2017,1,4A,BATANGAS,237
2017,1,4A,CAVITE,472
2017,1,4A,LAGUNA,448
2017,1,4A,LUCENA CITY,43
2017,1,4A,QUEZON,122
